B_C60_P70	61	1	160	60	750	0	1	0
B_C60_P75	62	1	144	60	750	0	1	0
B_C60_P80	63	1	136	60	750	0	1	0
B_C60_P85	64	1	132	60	750	0	1	0
B_C60_P90	65	1	130	60	750	0	1	0
B_C60_P95	66	1	129	60	750	0	1	0
A_GO_60	59	1	64	60	750	1	0	0
A_C60_i0	51	129	194	60	750	1	1	0
A_C60_i60	52	65	194	60	750	1	1	60
A_C60_i120	53	33	194	60	750	1	1	120
A_C60_i240	54	17	194	60	750	1	1	240
B_C60_P70	61	1	160	60	750	0	1	0
B_C60_P75	62	1	144	60	750	0	1	0
B_C60_P80	63	1	136	60	750	0	1	0
B_C60_P85	64	1	132	60	750	0	1	0
B_C60_P90	65	1	130	60	750	0	1	0
B_C60_P95	66	1	129	60	750	0	1	0
A_GO_60	59	1	64	60	750	1	0	0
A_C60_i0	51	129	194	60	750	1	1	0
A_C60_i60	52	65	194	60	750	1	1	60
A_C60_i120	53	33	194	60	750	1	1	120
A_C60_i240	54	17	194	60	750	1	1	240
B_C60_P70	61	1	160	60	750	0	1	0
B_C60_P75	62	1	144	60	750	0	1	0
B_C60_P80	63	1	136	60	750	0	1	0
B_C60_P85	64	1	132	60	750	0	1	0
B_C60_P90	65	1	130	60	750	0	1	0
B_C60_P95	66	1	129	60	750	0	1	0
A_GO_60	59	1	64	60	750	1	0	0
A_C60_i0	51	129	194	60	750	1	1	0
A_C60_i60	52	65	194	60	750	1	1	60
A_C60_i120	53	33	194	60	750	1	1	120
A_C60_i240	54	17	194	60	750	1	1	240
B_C60_P70	61	1	160	60	750	0	1	0
B_C60_P75	62	1	144	60	750	0	1	0
B_C60_P80	63	1	136	60	750	0	1	0
B_C60_P85	64	1	132	60	750	0	1	0
B_C60_P90	65	1	130	60	750	0	1	0
B_C60_P95	66	1	129	60	750	0	1	0
A_GO_60	59	1	64	60	750	1	0	0
A_C60_i0	51	129	194	60	750	1	1	0
A_C60_i60	52	65	194	60	750	1	1	60
A_C60_i120	53	33	194	60	750	1	1	120
A_C60_i240	54	17	194	60	750	1	1	240
B_C60_P70	61	1	160	60	750	0	1	0
B_C60_P75	62	1	144	60	750	0	1	0
B_C60_P80	63	1	136	60	750	0	1	0
B_C60_P85	64	1	132	60	750	0	1	0
B_C60_P90	65	1	130	60	750	0	1	0
B_C60_P95	66	1	129	60	750	0	1	0
A_GO_60	59	1	64	60	750	1	0	0
A_C60_i0	51	129	194	60	750	1	1	0
A_C60_i60	52	65	194	60	750	1	1	60
A_C60_i120	53	33	194	60	750	1	1	120
A_C60_i240	54	17	194	60	750	1	1	240
