A_GO_70	60	5	64	70	750	1	0	0
A_C70_i0	55	133	194	70	750	1	1	0
A_C70_i60	56	69	194	70	750	1	1	60
A_C70_i120	57	37	194	70	750	1	1	120
A_C70_i240	58	21	194	70	750	1	1	240
B_C70_P75	67	5	144	70	750	0	1	0
B_C70_P80	68	5	136	70	750	0	1	0
B_C70_P85	69	5	132	70	750	0	1	0
B_C70_P90	70	5	130	70	750	0	1	0
B_C70_P95	71	5	129	70	750	0	1	0
A_GO_70	60	5	64	70	750	1	0	0
A_C70_i0	55	133	194	70	750	1	1	0
A_C70_i60	56	69	194	70	750	1	1	60
A_C70_i120	57	37	194	70	750	1	1	120
A_C70_i240	58	21	194	70	750	1	1	240
B_C70_P75	67	5	144	70	750	0	1	0
B_C70_P80	68	5	136	70	750	0	1	0
B_C70_P85	69	5	132	70	750	0	1	0
B_C70_P90	70	5	130	70	750	0	1	0
B_C70_P95	71	5	129	70	750	0	1	0
A_GO_70	60	5	64	70	750	1	0	0
A_C70_i0	55	133	194	70	750	1	1	0
A_C70_i60	56	69	194	70	750	1	1	60
A_C70_i120	57	37	194	70	750	1	1	120
A_C70_i240	58	21	194	70	750	1	1	240
B_C70_P75	67	5	144	70	750	0	1	0
B_C70_P80	68	5	136	70	750	0	1	0
B_C70_P85	69	5	132	70	750	0	1	0
B_C70_P90	70	5	130	70	750	0	1	0
B_C70_P95	71	5	129	70	750	0	1	0
A_GO_70	60	5	64	70	750	1	0	0
A_C70_i0	55	133	194	70	750	1	1	0
A_C70_i60	56	69	194	70	750	1	1	60
A_C70_i120	57	37	194	70	750	1	1	120
A_C70_i240	58	21	194	70	750	1	1	240
B_C70_P75	67	5	144	70	750	0	1	0
B_C70_P80	68	5	136	70	750	0	1	0
B_C70_P85	69	5	132	70	750	0	1	0
B_C70_P90	70	5	130	70	750	0	1	0
B_C70_P95	71	5	129	70	750	0	1	0
A_GO_70	60	5	64	70	750	1	0	0
A_C70_i0	55	133	194	70	750	1	1	0
A_C70_i60	56	69	194	70	750	1	1	60
A_C70_i120	57	37	194	70	750	1	1	120
A_C70_i240	58	21	194	70	750	1	1	240
B_C70_P75	67	5	144	70	750	0	1	0
B_C70_P80	68	5	136	70	750	0	1	0
B_C70_P85	69	5	132	70	750	0	1	0
B_C70_P90	70	5	130	70	750	0	1	0
B_C70_P95	71	5	129	70	750	0	1	0
